particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type,ml_type_proba
1,1,2,0,5.625,63,43.87,0.64,754.49,37.08,664,799,9.125,0.84,1100,1111,315,326,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
25,7,4,0.655,7.625,89,38.97,0.86,610.66,166.95,239,799,10.875,0.64,577,588,409,419,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
38,13,3,1.31,5.375,62,35.04,0.8,666.81,124.97,356,799,7.375,0.69,576,586,405,413,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
42,14,3,1.419,5.875,67,32.49,0.89,646.6,134.48,347,799,7.625,0.75,347,355,627,635,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
43,14,4,1.419,10.375,126,57.28,0.69,633.3,148.32,260,799,14.125,0.62,642,657,924,936,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
44,15,1,1.528,7.125,80,42.38,0.75,694.19,82.77,499,799,14.625,0.34,835,850,800,808,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
53,19,3,1.965,13.125,168,52.87,0.87,511.98,223.14,105,798,13.375,0.92,900,914,880,894,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
59,21,3,2.184,5.375,62,31.9,0.88,644.05,124.24,370,797,7.375,0.61,228,238,491,497,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
96,34,1,3.603,14.125,186,64.87,0.75,634.33,127.21,358,798,19.375,0.67,797,814,359,374,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
98,34,3,3.603,32.875,674,126.4,0.73,488.15,187.39,82,798,48.125,0.56,538,563,932,973,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
106,39,2,4.149,6.625,76,36.14,0.86,573.37,198.48,212,796,8.625,0.68,908,919,758,766,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
119,44,3,4.695,6.375,73,40.04,0.76,700.42,70.58,565,798,13.125,0.36,342,353,111,123,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
171,63,7,6.77,7.125,82,37.38,0.86,722.3,65.05,582,798,7.875,0.92,978,988,810,819,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
176,67,2,7.207,5.875,68,32.73,0.89,686.66,103.7,428,799,6.375,0.86,836,844,969,978,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
187,71,2,7.644,5.625,65,41.21,0.69,742.26,49.34,617,798,9.875,0.55,1060,1071,307,314,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
240,89,3,9.609,7.875,90,45.14,0.74,673.04,91.76,447,799,14.625,0.36,356,363,460,476,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
243,90,1,9.718,5.125,59,41.28,0.66,699.9,94.41,475,798,7.875,0.62,1233,1241,465,475,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
256,93,3,10.046,10.625,128,56.87,0.71,637.41,132.75,312,799,21.375,0.34,561,580,778,789,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
265,95,1,10.264,5.125,59,39.63,0.69,746.15,41.68,640,798,7.875,0.54,76,83,372,382,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
290,104,1,11.247,8.625,102,54.63,0.66,724.42,66.47,505,799,14.625,0.56,139,155,443,453,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
330,115,6,12.448,11.875,149,59.46,0.73,551.33,225.23,103,799,20.625,0.41,1010,1031,790,800,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense fibral,101
331,115,7,12.448,5.625,63,31.31,0.9,607.59,166.85,233,799,6.375,0.76,159,168,862,869,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
340,118,3,12.776,16.875,240,69.18,0.79,561.86,212.14,103,799,21.875,0.76,445,466,548,565,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
346,119,6,12.885,7.125,80,44.46,0.71,743.75,54.52,593,797,9.375,0.8,8,18,798,810,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
355,124,2,13.431,22.125,360,77.84,0.86,500.18,209.71,134,799,24.375,0.87,958,982,392,414,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
357,124,4,13.431,7.625,86,44.87,0.73,692.06,90.36,442,798,11.875,0.59,909,919,782,794,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
361,125,4,13.54,6.625,74,46.11,0.66,754.46,30.12,688,799,13.125,0.36,388,397,516,530,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent fibral,101
471,170,2,18.454,6.125,70,45.8,0.65,745.3,43.53,641,798,14.125,0.36,1267,1273,877,892,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent fibral,101
477,173,1,18.782,5.375,62,33.31,0.84,688.61,104.42,430,794,7.875,0.72,472,480,287,296,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
512,184,3,19.983,7.375,83,40.14,0.8,652.18,107.74,430,799,12.375,0.42,686,700,430,437,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
521,187,3,20.311,8.125,93,51.11,0.67,653.32,157.16,266,798,13.125,0.58,1061,1070,834,849,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
523,188,1,20.42,9.875,118,52.46,0.73,616.31,176.6,228,799,13.375,0.7,1232,1247,32,44,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
531,189,5,20.529,6.125,70,38.8,0.76,662.24,137.32,324,799,8.125,0.68,888,899,860,868,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
534,190,3,20.638,30.625,604,123.15,0.71,308.25,301.07,1,799,34.625,0.92,772,801,950,976,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
535,190,4,20.638,21.875,352,82.43,0.81,346.44,264.93,10,799,26.875,0.91,544,566,967,989,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
548,196,1,21.294,7.375,85,52.28,0.63,750.8,40.98,632,797,10.875,0.78,603,614,134,146,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
559,200,2,21.73,6.875,79,44.21,0.71,710.56,60.58,579,799,13.375,0.37,590,605,268,275,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,air bubble,101
569,204,1,22.167,7.875,92,39.97,0.85,636.47,141.91,315,797,8.625,0.86,376,387,936,946,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
591,215,1,23.368,10.625,130,48.38,0.84,546.97,197.29,124,799,14.125,0.65,665,677,111,125,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,dense globular,101
612,224,1,24.351,5.125,58,41.46,0.65,762.36,31.42,695,799,8.625,0.59,813,824,438,445,FALSE,AHF_20151014_Galactic,14 GIV6 LN20150206_5200-3196_151014-132747,translucent globular,101
